Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
37,Algorithm A,h5,0,29,0.043
38,UCS,N/A,8,3624,26.4772
38,GBFS,h1,18,294,0.7612
38,GBFS,h2,18,294,0.7601
38,GBFS,h3,18,294,0.8104
38,GBFS,h4,23,10720,131.0906
38,GBFS,h5,18,294,0.9304
38,Algorithm A,h1,8,977,4.9556
38,Algorithm A,h2,8,977,4.6969
38,Algorithm A,h3,14,472,1.4229
38,Algorithm A,h4,10,9229,131.8714
38,Algorithm A,h5,9,219,0.5944
39,UCS,N/A,7,132,0.2377
39,GBFS,h1,0,138,0.2601
39,GBFS,h2,0,138,0.2692
39,GBFS,h3,0,138,0.2618
39,GBFS,h4,0,139,0.2699
39,GBFS,h5,0,138,0.284
39,Algorithm A,h1,7,118,0.2251
39,Algorithm A,h2,7,118,0.2247
39,Algorithm A,h3,0,138,0.2623
39,Algorithm A,h4,0,139,0.2695
39,Algorithm A,h5,0,138,0.264
40,UCS,N/A,8,913,2.878
40,GBFS,h1,0,1126,3.5053
40,GBFS,h2,0,1126,3.901
40,GBFS,h3,0,1126,3.4906
40,GBFS,h4,0,1190,3.8286
40,GBFS,h5,0,1126,3.5111
40,Algorithm A,h1,8,600,1.8543
40,Algorithm A,h2,8,600,1.8216
40,Algorithm A,h3,0,1126,3.7401
40,Algorithm A,h4,10,1138,3.7646
40,Algorithm A,h5,0,1126,3.8305
41,UCS,N/A,7,442,1.3276
41,GBFS,h1,10,52,0.1038
41,GBFS,h2,10,52,0.1045
41,GBFS,h3,10,52,0.1066
41,GBFS,h4,0,1076,3.4651
41,GBFS,h5,10,52,0.105
41,Algorithm A,h1,7,207,0.6356
41,Algorithm A,h2,7,207,0.6011
41,Algorithm A,h3,9,56,0.1137
41,Algorithm A,h4,0,1076,3.7661
41,Algorithm A,h5,8,70,0.1601
42,UCS,N/A,4,214,0.6376
42,GBFS,h1,4,7,0.0174
42,GBFS,h2,4,7,0.0174
42,GBFS,h3,4,7,0.0175
42,GBFS,h4,0,1427,5.5413
42,GBFS,h5,4,7,0.0175
42,Algorithm A,h1,4,156,0.522
42,Algorithm A,h2,4,156,0.4697
42,Algorithm A,h3,4,12,0.0289
42,Algorithm A,h4,0,1427,6.3938
42,Algorithm A,h5,4,56,0.1653
43,UCS,N/A,8,353,0.8381
43,GBFS,h1,0,356,0.8322
43,GBFS,h2,0,356,0.8311
43,GBFS,h3,0,356,0.8276
43,GBFS,h4,0,224,0.5476
43,GBFS,h5,0,356,0.8391
43,Algorithm A,h1,8,336,0.8145
43,Algorithm A,h2,8,336,0.8382
43,Algorithm A,h3,0,356,0.834
43,Algorithm A,h4,10,353,0.844
43,Algorithm A,h5,0,356,0.8739
44,UCS,N/A,8,573,1.6554
44,GBFS,h1,0,640,1.8446
44,GBFS,h2,0,640,1.8411
44,GBFS,h3,0,640,1.8804
44,GBFS,h4,0,3716,13.7832
44,GBFS,h5,0,640,1.8684
44,Algorithm A,h1,8,453,1.347
44,Algorithm A,h2,8,453,1.4077
44,Algorithm A,h3,0,640,1.8865
44,Algorithm A,h4,10,600,1.7837
44,Algorithm A,h5,0,640,1.9557
45,UCS,N/A,5,105,0.1929
45,GBFS,h1,5,12,0.023
45,GBFS,h2,5,12,0.0231
45,GBFS,h3,5,12,0.0231
45,GBFS,h4,0,406,0.8286
45,GBFS,h5,5,12,0.024
45,Algorithm A,h1,5,58,0.1116
45,Algorithm A,h2,5,58,0.1113
45,Algorithm A,h3,5,16,0.0309
45,Algorithm A,h4,0,406,0.8409
45,Algorithm A,h5,5,32,0.0606
46,UCS,N/A,6,42,0.0641
46,GBFS,h1,0,56,0.0832
46,GBFS,h2,0,56,0.0823
46,GBFS,h3,0,56,0.0826
46,GBFS,h4,0,106,0.1626
46,GBFS,h5,0,56,0.0826
46,Algorithm A,h1,6,33,0.0501
46,Algorithm A,h2,6,33,0.0488
46,Algorithm A,h3,0,56,0.0831
46,Algorithm A,h4,8,49,0.0787
46,Algorithm A,h5,0,56,0.087
47,UCS,N/A,5,434,1.3134
47,GBFS,h1,7,59,0.1564
47,GBFS,h2,7,59,0.1559
47,GBFS,h3,7,59,0.1569
47,GBFS,h4,0,1760,5.9842
47,GBFS,h5,7,59,0.1638
47,Algorithm A,h1,5,186,0.5346
47,Algorithm A,h2,5,186,0.5329
47,Algorithm A,h3,6,71,0.1947
47,Algorithm A,h4,0,1760,6.747
47,Algorithm A,h5,6,224,0.6506
48,UCS,N/A,6,46,0.0731
48,GBFS,h1,0,41,0.0708
48,GBFS,h2,0,41,0.0711
48,GBFS,h3,0,41,0.0709
48,GBFS,h4,0,61,0.0959
48,GBFS,h5,0,41,0.0719
48,Algorithm A,h1,6,43,0.0712
48,Algorithm A,h2,6,43,0.071
48,Algorithm A,h3,0,41,0.0701
48,Algorithm A,h4,8,49,0.0828
48,Algorithm A,h5,0,41,0.073
49,UCS,N/A,15,8994,59.8661
49,GBFS,h1,0,18199,235.4191
49,GBFS,h2,0,18199,168.6516
49,GBFS,h3,0,18199,160.5125
49,GBFS,h4,0,21731,4722.6568
49,GBFS,h5,0,18199,160.0629
49,Algorithm A,h1,15,7815,9407.1256
49,Algorithm A,h2,15,7815,50.589
49,Algorithm A,h3,0,18199,1181.944
49,Algorithm A,h4,17,10451,74.8021
49,Algorithm A,h5,0,18199,204.7136
50,UCS,N/A,6,2477,14.4039
50,GBFS,h1,0,4138,21.9904
50,GBFS,h2,0,4138,22.0333
50,GBFS,h3,0,4138,22.1426
50,GBFS,h4,0,4374,22.1955
50,GBFS,h5,0,4138,21.9733
50,Algorithm A,h1,6,447,1.9456
50,Algorithm A,h2,6,447,1.7491
50,Algorithm A,h3,0,4138,25.9591
50,Algorithm A,h4,8,4008,26.4832
50,Algorithm A,h5,0,4138,28.6372
